Year,"Agriculture, forestry, and fishing, value added (% of GDP)"
1960,25.900601532239886
1961,24.902568426825912
1962,23.827496408574955
1963,22.257218140525474
1964,20.766066499572744
1965,18.59561661071773
1966,17.44181877585151
1967,16.515886143593754
1968,15.853614366578958
1969,14.497399618531457
1970,12.99091055022663
1971,12.712702516979025
1972,11.9544005362624
1973,9.868775695114895
1974,6.9328248557647045
1975,6.672281015865011
1976,6.487048744482831
1977,5.665368244486063
1978,7.462283232119573
1979,8.571918274980577
1980,11.060463584910478
1981,13.694148246210144
1982,12.774177407303346
1983,11.057129176436618
1984,12.307885637635458
1985,12.77052114811946
1986,15.228029450958665
1987,16.302784316837265
1988,15.38501437870751
1989,15.576819225894244
1990,12.49086055759909
1991,12.014241552423192
1992,12.05433007185683
1993,10.398370707137804
1994,10.551562344580802
1995,12.61023614311406
1996,10.346477231347707
1997,9.812699500306083
1998,11.555057892554842
1999,9.914986215452277
2000,9.068419327038152
2001,8.310842002465987
2002,7.8255468974793825
2003,7.451094561202008
2004,6.889578469458206
2005,6.501382209086846
2006,7.1182112409593294
2007,7.185568231474992
2008,6.122772591111119
2009,6.9244896148629
2010,6.499390725572011
2011,4.642116204566292
2012,6.79693716710654
2013,8.774909772760259
2014,9.378424156844261
2015,10.091601414112562
2016,9.784420380706123
2017,9.827058775948837
2018,11.219001896771747
2019,13.324869174343283
2020,12.212998105241022
2021,12.393095995254342
2022,12.460617453808673
