Year,Exports of goods and services (constant 2015 US$)
1960,20709696081.92059
1961,23219897092.26556
1962,26280750595.02552
1963,28945822618.86218
1964,32540120723.649048
1965,37872415757.62107
1966,42602434628.01414
1967,49511402618.78343
1968,56555882746.35823
1969,66915032759.915695
1970,75409277652.67679
1971,88386177991.50386
1972,101085601097.82506
1973,112683708574.96576
1974,110621746047.5677
1975,99314238312.53583
1976,110114340029.78392
1977,101470737030.93767
1978,73854409699.42838
1979,57548886266.303566
1980,19506465435.388763
1981,17422595061.730858
1982,33683645827.690193
1983,41056844658.8726
1984,32584926652.650585
1985,29512782333.18913
1986,24698968032.295982
1987,36051420343.93018
1988,41106710153.23625
1989,44611747318.61076
1990,53805602278.254295
1991,62770001600.45669
1992,63699421457.76792
1993,69486645294.1362
1994,70451428060.07088
1995,64141612740.21662
1996,64588163439.456566
1997,61043009382.47526
1998,62474923462.9028
1999,60906215846.13281
2000,65857693859.43349
2001,61903121805.10539
2002,63927458237.59425
2003,73082468627.44052
2004,73925662947.4831
2005,75434341205.84596
2006,78420709764.18196
2007,78277749791.00156
2008,75908589718.73743
2009,75610059148.46906
2010,81277734669.89056
2011,80843312997.00165
2012,63872968559.27652
2013,62311944080.841064
2014,69429131283.79639
2015,76420864790.41281
2016,97377701953.15846
2017,97869539311.73029
2018,93583597478.47513
2019,77404553512.7224
2020,67474267975.37384
2021,70967531861.54288
2022,76116793461.53404
