Year,GDP per capita (current US$)
1960,196.32392690384688
1961,201.37487309476822
1962,654626.0
1963,211.90111762130388
1964,224.6411168475291
1965,251.23903963303331
1966,267.33410233441106
1967,289.10898467228577
1968,320.85864379402545
1969,352.45263421836773
1970,385.81226563203876
1971,469.083558003546
1972,569.6634544281427
1973,874.1135952841975
1974,1448.7637069233037
1975,1575.80607387262
1976,2011.0272869926002
1977,2311.0154297308927
1978,2166.890348316649
1979,2429.5617723861164
1980,2449.653401094615
1981,2482.9204846546318
1982,2963.4980596363143
1983,3551.4946474781
1984,3556.4850292043675
1985,3812.1063695397356
1986,4274.805240010594
1987,2651.484867643769
1988,2361.417198360803
1989,2246.1917403465504
1990,2237.052261401118
1991,
1992,
1993,1066.74193846504
1994,1197.6421461803602
1995,1585.977936762227
1996,1954.6607523568362
1997,1823.2745136978085
1998,1737.7000329461232
1999,1765.783642701509
2000,1672.0228765021104
2001,1902.947639072254
2002,1910.4771336595256
2003,2259.5163197681163
2004,2751.7930417504995
2005,3226.613970574273
2006,3736.177792578353
2007,4838.003556092782
2008,5623.911680973937
2009,5602.556281831867
2010,6458.573956403093
2011,8201.581678175859
2012,8329.002066875222
2013,6280.68186752661
2014,5757.543332618486
2015,4990.936795376941
2016,5497.243232564914
2017,5758.590727670484
2018,3829.8298550693776
2019,3276.753265080995
2020,2746.419483179556
2021,4084.2003047945796
2022,4387.825715178716
