Year,Gross capital formation (constant LCU)
1960,485887019374070.0
1961,517893163041277.0
1962,516080473999457.0
1963,550436129297312.0
1964,652551438973245.0
1965,807651247620736.0
1966,899330509089376.0
1967,1024584610822330.0
1968,1266275657366010.0
1969,1374018866247790.0
1970,1502274992395930.0
1971,1521161264399390.0
1972,2037263650641890.0
1973,2123977193766400.0
1974,3201980391949450.0
1975,4328732573858300.0
1976,5617286424022870.0
1977,5721638742765770.0
1978,4642897735042880.0
1979,3088861628129000.0
1980,3558162060377920.0
1981,3080925227322350.0
1982,2869468323224420.0
1983,3739268193845800.0
1984,2864964626782020.0
1985,2585658059076620.0
1986,2486800395454470.0
1987,2464494539325320.0
1988,1600138105673460.0
1989,1924230454886260.0
1990,2387218857379520.0
1991,3112489336177000.0
1992,2881761899467400.0
1993,2094276175972900.0
1994,1452390091938800.0
1995,1870476278400700.0
1996,2401284701869000.0
1997,2333199994722400.0
1998,2364034216415400.0
1999,2452110148494600.0
2000,2559065744523800.0
2001,2937020742935800.0
2002,3475556104979100.0
2003,4101807024177300.0
2004,4326280587098300.0
2005,4178372572097200.0
2006,4387178966279299.5
2007,4957352324934000.0
2008,5436895996233700.0
2009,5608332557634700.0
2010,6152639726593000.0
2011,5886434750441600.0
2012,5468352943903800.0
2013,4973983751259500.0
2014,5174200049896700.0
2015,3157985514114200.0
2016,4194312749641300.0
2017,4473532751645700.5
2018,4197903825818500.0
2019,
2020,
2021,
2022,
